idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR411650,Nova Aliança do Ivaí,4116505,131.272,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,1518,IBGE (2015), ,,0
BR411670,Nova Aurora,4116703,474.011,BR41,PR,BR41023,Cascavel,BR4106,Oeste Paranaense,0,11537,IBGE (2015), ,,0
BR411680,Nova Cantu,4116802,555.488,BR41,PR,BR41004,Goioerê,BR4102,Centro Ocidental Paranaense,0,6650,IBGE (2015), ,,0
BR411690,Nova Esperança,4116901,401.587,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,27886,IBGE (2015), ,,0
BR411695,Nova Esperança do Sudoeste,4116950,208.472,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,5206,IBGE (2015), ,,0
BR411705,Nova Laranjeiras,4117057,1210.205,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,11968,IBGE (2015),Interior Sul,Integral,1
BR411710,Nova Londrina,4117107,269.389,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,13470,IBGE (2015), ,,0
BR411720,Nova Olímpia,4117206,136.347,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,5782,IBGE (2015), ,,0
BR411722,Nova Santa Rosa,4117222,204.665,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,8092,IBGE (2015),Interior Sul,Integral,1
BR411725,Nova Prata do Iguaçu,4117255,352.565,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,10722,IBGE (2015), ,,0
BR411727,Nova Tebas,4117271,545.686,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,6792,IBGE (2015),Interior Sul,Integral,1
BR411729,Novo Itacolomi,4117297,161.411,BR41,PR,BR41010,Apucarana,BR4103,Norte Central Paranaense,0,2907,IBGE (2015), ,,0
BR411740,Ourizona,4117404,176.457,BR41,PR,BR41008,Floraí,BR4103,Norte Central Paranaense,0,3488,IBGE (2015), ,,0
BR411745,Ouro Verde do Oeste,4117453,293.042,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,5976,IBGE (2015), ,,0
BR411750,Paiçandu,4117503,171.379,BR41,PR,BR41009,Maringá,BR4103,Norte Central Paranaense,0,39291,IBGE (2015), ,,0
BR411760,Palmas,4117602,1557.903,BR41,PR,BR41030,Palmas,BR4108,Centro-Sul Paranaense,0,47674,IBGE (2015),Interior Sul,Integral,1
BR411780,Palmital,4117800,817.647,BR41,PR,BR41028,Pitanga,BR4108,Centro-Sul Paranaense,0,14477,IBGE (2015),Interior Sul,Integral,1
BR411790,Palotina,4117909,651.238,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,30859,IBGE (2015),Interior Sul,Integral,1
BR411800,Paraíso do Norte,4118006,204.564,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,13011,IBGE (2015), ,,0
BR411810,Paranacity,4118105,348.631,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,11069,IBGE (2015), ,,0
BR411830,Paranapoema,4118303,175.875,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,3050,IBGE (2015), ,,0
BR411840,Paranavaí,4118402,1202.266,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,86773,IBGE (2015), ,,0
BR411845,Pato Bragado,4118451,135.286,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,5304,IBGE (2015),Interior Sul,Integral,1
BR411850,Pato Branco,4118501,539.087,BR41,PR,BR41027,Pato Branco,BR4107,Sudoeste Paranaense,0,79011,IBGE (2015),Interior Sul,Integral,1
BR411880,Peabiru,4118808,468.595,BR41,PR,BR41005,Campo Mourão,BR4102,Centro Ocidental Paranaense,0,14144,IBGE (2015), ,,0
BR411885,Perobal,4118857,407.58,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,5995,IBGE (2015), ,,0
BR411890,Pérola,4118907,240.635,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,10937,IBGE (2015), ,,0
BR411900,Pérola D'Oeste,4119004,205.279,BR41,PR,BR41025,Capanema,BR4107,Sudoeste Paranaense,0,6746,IBGE (2015), ,,0
BR411925,Pinhal de São Bento,4119251,97.463,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,2740,IBGE (2015), ,,0
BR411960,Pitanga,4119608,1663.747,BR41,PR,BR41028,Pitanga,BR4108,Centro-Sul Paranaense,0,32419,IBGE (2015),Interior Sul,Integral,1
BR411965,Pitangueiras,4119657,123.229,BR41,PR,BR41011,Londrina,BR4103,Norte Central Paranaense,0,3073,IBGE (2015), ,,0
